City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
159,progreso,21.2833,-89.6667,73.11,87,12,15.46,MX
160,warwick,41.7001,-71.4162,36.45,74,20,0.0,US
161,kuytun,54.3419,101.5036,11.17,90,66,3.44,RU
162,qaqortoq,60.7167,-46.0333,13.84,88,98,6.6,GL
163,caravelas,-17.7125,-39.2481,73.29,89,100,12.28,BR
164,souillac,-20.5167,57.5167,79.18,53,40,6.91,MU
165,upington,-28.4478,21.2561,91.78,8,0,8.05,ZA
166,narsaq,60.9167,-46.05,17.82,90,92,7.16,GL
167,parker,32.7668,-97.8003,41.7,75,22,9.64,US
168,kavieng,-2.5744,150.7967,81.52,69,93,8.72,PG
169,kamen-rybolov,44.7481,132.0403,29.97,80,5,5.91,RU
170,trinidad,-14.8333,-64.9,76.98,88,72,5.75,BO
171,svendborg,55.0598,10.6068,41.86,61,98,22.79,DK
172,yuci,37.6803,112.7319,44.35,76,100,2.24,CN
173,san jose,37.3394,-121.895,52.47,78,75,1.01,US
174,auki,-8.7676,160.7034,76.59,82,100,3.06,SB
175,victoria,22.2855,114.1577,79.18,80,0,15.01,HK
176,ndele,8.4109,20.6473,97.63,16,58,5.17,CF
177,hambantota,6.1241,81.1185,82.74,83,40,3.44,LK
178,olinda,-8.0089,-34.8553,82.13,69,75,9.22,BR
179,taoudenni,22.6783,-3.9836,85.01,9,2,5.3,ML
180,linxia,35.6003,103.2064,41.61,51,5,1.57,CN
181,alyangula,-13.8483,136.4192,84.87,75,68,10.67,AU
182,fort nelson,58.8053,-122.7002,-4.41,77,20,0.0,CA
183,matara,5.9485,80.5353,79.09,70,86,5.59,LK
184,nabire,-3.3667,135.4833,77.65,89,97,1.21,ID
185,galle,6.0367,80.217,80.19,70,96,13.56,LK
186,bambous virieux,-20.3428,57.7575,79.05,53,40,6.91,MU
187,norman wells,65.282,-126.8329,-3.96,84,20,0.0,CA
188,sinnamary,5.3833,-52.95,82.54,71,59,7.85,GF
189,thompson,55.7435,-97.8558,8.76,85,100,6.91,CA
190,kununurra,-15.7667,128.7333,84.18,84,90,6.91,AU
191,uyemskiy,64.4743,40.8524,28.45,100,100,0.0,RU
192,mount gambier,-37.8333,140.7667,58.91,72,100,5.64,AU
193,kristinehamn,59.3098,14.1081,36.16,68,64,10.65,SE
194,marsaxlokk,35.8419,14.5431,76.08,68,20,18.41,MT
195,kailua,21.4022,-157.7394,75.18,91,80,3.0,US
196,amot,59.5714,7.9877,27.77,68,98,6.46,NO
197,srednekolymsk,67.45,153.6833,-22.43,98,87,8.86,RU
198,sakakah,29.9697,40.2064,65.77,37,3,9.82,SA
199,beloha,-25.1667,45.05,87.69,35,2,15.32,MG
200,mayo,38.8876,-76.5119,37.98,73,75,13.8,US
201,stoke-on-trent,53.0042,-2.1854,51.53,77,90,11.01,GB
202,dovhe,48.3653,23.279,42.96,100,100,2.84,UA
203,kaeo,-35.1,173.7833,57.33,93,18,10.31,NZ
204,adre,13.4667,22.2,87.22,15,0,5.48,TD
205,port moresby,-9.4431,147.1797,80.02,83,0,3.44,PG
206,ribeira grande,38.5167,-28.7,63.0,59,100,9.22,PT
207,haines junction,60.7522,-137.5108,4.95,92,96,1.14,CA
208,vanavara,60.34,102.2797,-9.69,96,58,5.59,RU
209,padang,-0.9492,100.3543,77.0,89,94,3.69,ID
210,anadyr,64.75,177.4833,3.7,78,0,6.71,RU
211,lavrentiya,65.5833,-171.0,27.5,93,41,6.6,RU
212,chapais,49.7834,-74.8492,11.98,93,100,6.67,CA
213,pevek,69.7008,170.3133,-15.97,98,96,0.25,RU
214,kawalu,-7.3817,108.2082,74.39,93,100,2.04,ID
215,lasem,-6.6922,111.4527,80.65,81,100,4.54,ID
216,san patricio,28.017,-97.5169,57.06,64,100,8.63,US
217,mitu,1.1983,-70.1733,72.99,97,95,0.98,CO
218,nanortalik,60.1432,-45.2371,23.31,81,97,1.97,GL
219,goderich,43.7501,-81.7165,33.91,64,100,18.41,CA
220,obzor,42.8167,27.8833,70.27,74,41,8.81,BG
221,lazarev,52.225,141.5131,22.14,90,100,1.7,RU
222,yar-sale,66.8333,70.8333,3.88,87,100,21.45,RU
223,sobolevo,54.4299,31.8996,25.14,64,100,6.93,RU
224,andra,62.5147,65.8878,15.46,85,100,13.35,RU
225,vao,-22.6667,167.4833,73.04,79,88,10.45,NC
226,maceio,-9.6658,-35.7353,81.84,74,20,12.66,BR
227,castelo do piaui,-5.3222,-41.5525,89.6,40,61,4.38,BR
228,huty,50.1332,35.3439,33.33,65,88,5.41,UA
229,lorengau,-2.0226,147.2712,82.18,75,100,7.67,PG
230,camocim,-2.9022,-40.8411,85.32,59,83,11.34,BR
231,santa rosa,14.3122,121.1114,80.58,86,99,11.61,PH
232,mount isa,-20.7333,139.5,80.37,39,4,4.61,AU
233,novoorsk,51.381,58.9813,29.05,78,97,7.72,RU
234,palmetto,27.5214,-82.5723,54.0,62,0,10.36,US
235,barcelos,41.5388,-8.6151,59.14,70,19,9.6,PT
236,lazaro cardenas,17.9583,-102.2,73.83,88,9,4.32,MX
237,san carlos de bariloche,-41.1456,-71.3082,55.15,76,75,2.3,AR
238,pauini,-7.7136,-66.9764,73.45,96,100,1.07,BR
239,talnakh,69.4865,88.3972,7.21,87,100,31.54,RU
240,umm lajj,25.0213,37.2685,79.09,48,99,13.85,SA
241,yeppoon,-23.1333,150.7333,71.38,75,13,11.39,AU
242,faanui,-16.4833,-151.75,77.49,82,100,10.92,PF
243,margate,51.3813,1.3862,53.11,77,96,4.0,GB
244,indianola,41.3581,-93.5574,15.82,69,81,5.01,US
245,caxias,38.7031,-9.2767,64.47,64,40,19.57,PT
246,los llanos de aridane,28.6585,-17.9182,71.35,79,40,11.5,ES
247,chuy,-33.6971,-53.4616,72.99,54,76,6.33,UY
248,sampit,-2.5333,112.95,74.17,98,100,1.99,ID
249,synya,65.3718,58.0387,19.83,95,100,7.02,RU
250,egvekinot,66.3167,-179.1667,1.67,98,100,3.51,RU
251,ortona,42.3496,14.4039,63.66,80,24,10.09,IT
252,alofi,-19.0595,-169.9187,67.89,94,40,1.14,NU
253,shimoda,34.6667,138.95,58.03,73,1,3.51,JP
254,alice springs,-23.7,133.8833,80.15,50,50,8.05,AU
255,voh,-20.9667,164.7,74.32,81,98,5.84,NC
256,peravurani,10.3,79.1833,76.66,74,100,9.33,IN
257,khandyga,62.6667,135.6,-7.06,99,100,2.89,RU
258,ashland,40.8167,-82.2665,28.98,86,56,11.12,US
259,bukama,-9.2,25.85,92.62,40,12,3.11,CD
260,pochutla,15.7432,-96.4661,71.82,80,56,3.65,MX
261,tuatapere,-46.1333,167.6833,50.94,97,95,2.8,NZ
262,puertollano,38.6871,-4.1073,53.08,65,95,13.13,ES
263,zunyi,27.6867,106.9072,55.45,92,95,1.72,CN
264,derzhavinsk,51.1,66.3167,21.83,85,100,8.16,KZ
265,marsa matruh,31.3525,27.2453,80.8,19,3,23.02,EG
266,garissa,-0.4536,39.6401,87.51,51,93,6.06,KE
267,beringovskiy,63.05,179.3167,18.84,86,100,9.98,RU
268,christchurch,-43.5333,172.6333,59.92,94,100,13.8,NZ
269,andenes,69.3143,16.1194,33.78,80,0,11.5,NO
270,kruisfontein,-34.0033,24.7314,69.96,52,94,15.64,ZA
271,cabinda,-5.55,12.2,86.14,66,20,8.05,AO
272,devonport,-41.1667,146.35,52.02,87,10,5.12,AU
273,ketchikan,55.3422,-131.6461,33.69,76,62,3.42,US
274,richards bay,-28.783,32.0377,91.98,47,53,13.76,ZA
275,tessalit,20.1986,1.0114,83.43,10,89,11.68,ML
276,grindavik,63.8424,-22.4338,41.47,75,40,11.5,IS
277,todos santos,23.45,-110.2167,67.66,81,68,7.96,MX
278,waipawa,-41.4122,175.5153,56.79,98,96,6.22,NZ
279,severnyy-kospashskiy,59.0925,57.8008,8.6,54,68,1.66,RU
280,upernavik,72.7868,-56.1549,10.04,76,24,6.8,GL
281,nago,26.5881,127.9761,76.05,88,15,2.33,JP
282,tabou,4.423,-7.3528,83.23,68,23,8.05,CI
283,dudinka,69.4058,86.1778,7.63,92,100,26.98,RU
284,galesong,-5.3166,119.3661,75.22,83,100,8.86,ID
285,saskylakh,71.9167,114.0833,-31.79,98,33,7.25,RU
286,yellowknife,62.456,-114.3525,19.92,86,75,11.5,CA
287,charters towers,-20.1,146.2667,74.91,81,32,13.53,AU
288,pasighat,28.0667,95.3333,65.17,67,0,3.89,IN
289,palmer,42.1584,-72.3287,32.63,74,100,8.05,US
290,mango,27.9797,-82.3065,53.46,74,0,5.75,US
291,vostok,46.4856,135.8833,25.0,97,100,3.58,RU
292,leningradskiy,69.3833,178.4167,-5.35,96,62,7.14,RU
293,bethel,41.3712,-73.414,33.49,75,0,5.75,US
294,viedma,-40.8135,-62.9967,70.56,66,100,13.73,AR
295,aykhal,66.0,111.5,-11.65,93,95,13.51,RU
296,cordoba,-31.4135,-64.1811,86.76,31,0,19.57,AR
297,tambacounda,13.7539,-13.7586,94.62,10,88,13.53,SN
298,fier,40.7239,19.5561,70.43,60,33,21.21,AL
299,urumqi,43.801,87.6005,23.95,86,75,2.24,CN
300,santa isabel do rio negro,-0.4139,-65.0192,74.62,95,100,1.32,BR
301,sioux lookout,50.1001,-91.917,12.27,79,100,6.91,CA
302,thai binh,20.45,106.3333,78.84,83,27,7.94,VN
303,harper,4.375,-7.7169,83.7,66,16,8.84,LR
304,ancud,-41.8697,-73.8203,53.87,92,83,5.88,CL
305,shahr-e babak,30.1165,55.1186,59.31,49,100,20.74,IR
306,karratha,-20.7377,116.8463,75.58,56,10,22.77,AU
307,kolno,53.4115,21.9291,31.24,65,95,12.06,PL
308,ponta do sol,32.6667,-17.1,71.13,61,53,7.05,PT
309,awjilah,29.1081,21.2869,83.03,14,1,12.62,LY
310,itarema,-2.9248,-39.9167,84.69,58,91,14.14,BR
311,el bagre,7.5927,-74.8086,73.72,99,100,1.79,CO
312,soyo,-6.1349,12.3689,81.91,65,53,9.75,AO
313,pimentel,-6.8367,-79.9342,62.89,88,0,10.36,PE
314,bahia blanca,-38.7196,-62.2724,68.29,87,100,4.0,AR
315,noumea,-22.2763,166.4572,71.58,84,95,6.62,NC
316,cidreira,-30.1811,-50.2056,71.58,64,20,11.27,BR
317,susanville,40.4163,-120.653,31.84,67,0,8.05,US
318,west valley city,40.6916,-112.0011,30.63,83,40,5.75,US
319,basco,20.4487,121.9702,81.36,79,87,20.69,PH
320,rawson,-43.3002,-65.1023,65.37,59,72,12.44,AR
321,constitucion,-35.3333,-72.4167,62.04,73,5,7.27,CL
322,itarantim,-15.6597,-40.0656,71.55,91,100,3.8,BR
323,goundam,16.4145,-3.6708,88.14,9,61,10.63,ML
324,tura,25.5198,90.2201,64.65,90,1,4.25,IN
325,kristiinankaupunki,62.2743,21.376,30.87,77,78,7.25,FI
326,sande,53.5049,8.0142,36.05,89,100,18.52,DE
